Name,J1,J2,J3,J4,J5,J16,J20,J13,J10,J7,J24,J25,J26,J27,J28,J42,J38,J35,J32,J29,J46,J47,Delay
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,0,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-25,45,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,45,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,-43,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,-43,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9,33,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,33,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-44,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,-44,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
head3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
